Date,Close,Date,High,Date,Low,Date,Open
01/02/2019 16:00:00,50.65,01/02/2019 16:00:00,51.25,01/02/2019 16:00:00,50.45,01/02/2019 16:00:00,51.11
04/02/2019 16:00:00,52.91,04/02/2019 16:00:00,52.96,04/02/2019 16:00:00,50.71,04/02/2019 16:00:00,50.81
05/02/2019 16:00:00,52.5,05/02/2019 16:00:00,53.82,05/02/2019 16:00:00,52.22,05/02/2019 16:00:00,53
06/02/2019 16:00:00,52.12,06/02/2019 16:00:00,52.72,06/02/2019 16:00:00,51.42,06/02/2019 16:00:00,52.69
07/02/2019 16:00:00,51.98,07/02/2019 16:00:00,52.41,07/02/2019 16:00:00,51.14,07/02/2019 16:00:00,51.84
08/02/2019 16:00:00,51.43,08/02/2019 16:00:00,51.83,08/02/2019 16:00:00,50.81,08/02/2019 16:00:00,51.75
11/02/2019 16:00:00,53.13,11/02/2019 16:00:00,53.24,11/02/2019 16:00:00,51.52,11/02/2019 16:00:00,51.52
12/02/2019 16:00:00,53.3,12/02/2019 16:00:00,54.04,12/02/2019 16:00:00,52.72,12/02/2019 16:00:00,53.8
13/02/2019 16:00:00,53.7,13/02/2019 16:00:00,53.96,13/02/2019 16:00:00,53.06,13/02/2019 16:00:00,53.66
14/02/2019 16:00:00,54.59,14/02/2019 16:00:00,54.77,14/02/2019 16:00:00,53.35,14/02/2019 16:00:00,53.36
15/02/2019 16:00:00,55.43,15/02/2019 16:00:00,55.59,15/02/2019 16:00:00,54.41,15/02/2019 16:00:00,54.9
19/02/2019 16:00:00,55.81,19/02/2019 16:00:00,56.08,19/02/2019 16:00:00,55.21,19/02/2019 16:00:00,55.43
20/02/2019 16:00:00,56,20/02/2019 16:00:00,56.34,20/02/2019 16:00:00,55.58,20/02/2019 16:00:00,55.88
21/02/2019 16:00:00,55.49,21/02/2019 16:00:00,56.18,21/02/2019 16:00:00,55.25,21/02/2019 16:00:00,55.98
22/02/2019 16:00:00,55.74,22/02/2019 16:00:00,55.95,22/02/2019 16:00:00,55.01,22/02/2019 16:00:00,55.62
25/02/2019 16:00:00,58.05,25/02/2019 16:00:00,58.5,25/02/2019 16:00:00,56.28,25/02/2019 16:00:00,56.44
26/02/2019 16:00:00,60.22,26/02/2019 16:00:00,60.3,26/02/2019 16:00:00,58.52,26/02/2019 16:00:00,58.62
27/02/2019 16:00:00,55.49,27/02/2019 16:00:00,55.65,27/02/2019 16:00:00,51.6,27/02/2019 16:00:00,55.46
28/02/2019 16:00:00,53.83,28/02/2019 16:00:00,55.75,28/02/2019 16:00:00,53.55,28/02/2019 16:00:00,55.13
01/03/2019 16:00:00,54.45,01/03/2019 16:00:00,54.6,01/03/2019 16:00:00,53.19,01/03/2019 16:00:00,54.29
04/03/2019 16:00:00,51.2,04/03/2019 16:00:00,54.86,04/03/2019 16:00:00,50.81,04/03/2019 16:00:00,54.54
05/03/2019 16:00:00,51.4,05/03/2019 16:00:00,51.64,05/03/2019 16:00:00,50.5,05/03/2019 16:00:00,51.41
