Date,Close,Date,High,Date,Low,Date,Open
01/02/2019 16:00:00,55.93,01/02/2019 16:00:00,56.72,01/02/2019 16:00:00,55.71,01/02/2019 16:00:00,56.11
04/02/2019 16:00:00,57.07,04/02/2019 16:00:00,57.12,04/02/2019 16:00:00,55.88,04/02/2019 16:00:00,55.95
05/02/2019 16:00:00,57.59,05/02/2019 16:00:00,57.64,05/02/2019 16:00:00,56.18,05/02/2019 16:00:00,56.48
06/02/2019 16:00:00,56.14,06/02/2019 16:00:00,57.7,06/02/2019 16:00:00,55.92,06/02/2019 16:00:00,57.46
07/02/2019 16:00:00,55.3,07/02/2019 16:00:00,55.6,07/02/2019 16:00:00,54.68,07/02/2019 16:00:00,55.59
08/02/2019 16:00:00,55.12,08/02/2019 16:00:00,55.25,08/02/2019 16:00:00,54.71,08/02/2019 16:00:00,54.74
11/02/2019 16:00:00,55.11,11/02/2019 16:00:00,55.67,11/02/2019 16:00:00,55,11/02/2019 16:00:00,55.19
12/02/2019 16:00:00,56.38,12/02/2019 16:00:00,56.64,12/02/2019 16:00:00,55.55,12/02/2019 16:00:00,55.55
13/02/2019 16:00:00,56.43,13/02/2019 16:00:00,57.14,13/02/2019 16:00:00,56.3,13/02/2019 16:00:00,56.65
14/02/2019 16:00:00,56.46,14/02/2019 16:00:00,56.81,14/02/2019 16:00:00,55.85,14/02/2019 16:00:00,56.25
15/02/2019 16:00:00,55.98,15/02/2019 16:00:00,56.97,15/02/2019 16:00:00,55.84,15/02/2019 16:00:00,56.97
19/02/2019 16:00:00,56.33,19/02/2019 16:00:00,56.48,19/02/2019 16:00:00,55.83,19/02/2019 16:00:00,55.83
20/02/2019 16:00:00,56.03,20/02/2019 16:00:00,56.55,20/02/2019 16:00:00,55.59,20/02/2019 16:00:00,56.44
21/02/2019 16:00:00,55.21,21/02/2019 16:00:00,55.96,21/02/2019 16:00:00,54.9,21/02/2019 16:00:00,55.94
22/02/2019 16:00:00,55.83,22/02/2019 16:00:00,55.86,22/02/2019 16:00:00,55.03,22/02/2019 16:00:00,55.49
25/02/2019 16:00:00,55.87,25/02/2019 16:00:00,56.27,25/02/2019 16:00:00,55.71,25/02/2019 16:00:00,56.1
26/02/2019 16:00:00,56.1,26/02/2019 16:00:00,56.32,26/02/2019 16:00:00,55.34,26/02/2019 16:00:00,55.72
27/02/2019 16:00:00,56.14,27/02/2019 16:00:00,56.29,27/02/2019 16:00:00,55.43,27/02/2019 16:00:00,55.7
28/02/2019 16:00:00,56.33,28/02/2019 16:00:00,56.7,28/02/2019 16:00:00,55.92,28/02/2019 16:00:00,55.95
01/03/2019 16:00:00,57.43,01/03/2019 16:00:00,57.5,01/03/2019 16:00:00,56.55,01/03/2019 16:00:00,56.55
04/03/2019 16:00:00,57.67,04/03/2019 16:00:00,58.28,04/03/2019 16:00:00,56.91,04/03/2019 16:00:00,57.73
05/03/2019 16:00:00,58.46,05/03/2019 16:00:00,58.82,05/03/2019 16:00:00,57.65,05/03/2019 16:00:00,57.8
06/03/2019 16:00:00,58.25,06/03/2019 16:00:00,58.74,06/03/2019 16:00:00,58.15,06/03/2019 16:00:00,58.59
07/03/2019 16:00:00,57.54,07/03/2019 16:00:00,58.18,07/03/2019 16:00:00,57.09,07/03/2019 16:00:00,58.03
08/03/2019 16:00:00,57.5,08/03/2019 16:00:00,57.67,08/03/2019 16:00:00,56.51,08/03/2019 16:00:00,56.7
11/03/2019 16:00:00,58.96,11/03/2019 16:00:00,59,11/03/2019 16:00:00,57.58,11/03/2019 16:00:00,57.6
12/03/2019 16:00:00,59.86,12/03/2019 16:00:00,60.29,12/03/2019 16:00:00,59.12,12/03/2019 16:00:00,59.12
13/03/2019 16:00:00,59.95,13/03/2019 16:00:00,60.36,13/03/2019 16:00:00,59.9,13/03/2019 16:00:00,60.3
14/03/2019 16:00:00,59.63,14/03/2019 16:00:00,60.24,14/03/2019 16:00:00,59.56,14/03/2019 16:00:00,59.95
15/03/2019 16:00:00,59.52,15/03/2019 16:00:00,60.09,15/03/2019 16:00:00,59.35,15/03/2019 16:00:00,59.9
18/03/2019 16:00:00,59.43,18/03/2019 16:00:00,59.75,18/03/2019 16:00:00,59.07,18/03/2019 16:00:00,59.48
19/03/2019 16:00:00,60.12,19/03/2019 16:00:00,60.17,19/03/2019 16:00:00,59.47,19/03/2019 16:00:00,59.59
20/03/2019 16:00:00,61.32,20/03/2019 16:00:00,61.5,20/03/2019 16:00:00,59.98,20/03/2019 16:00:00,60.07
21/03/2019 16:00:00,61.81,21/03/2019 16:00:00,61.82,21/03/2019 16:00:00,60.83,21/03/2019 16:00:00,61
22/03/2019 16:00:00,60.38,22/03/2019 16:00:00,61.68,22/03/2019 16:00:00,60.3,22/03/2019 16:00:00,61.44
25/03/2019 16:00:00,59.87,25/03/2019 16:00:00,60.47,25/03/2019 16:00:00,59.5,25/03/2019 16:00:00,59.98
26/03/2019 16:00:00,59.49,26/03/2019 16:00:00,60.38,26/03/2019 16:00:00,59.09,26/03/2019 16:00:00,60.26
27/03/2019 16:00:00,58.9,27/03/2019 16:00:00,59.6,27/03/2019 16:00:00,58.21,27/03/2019 16:00:00,59.6
28/03/2019 16:00:00,58.61,28/03/2019 16:00:00,58.86,28/03/2019 16:00:00,58.17,28/03/2019 16:00:00,58.78
29/03/2019 16:00:00,58.84,29/03/2019 16:00:00,59.2,29/03/2019 16:00:00,58.32,29/03/2019 16:00:00,59.01
01/04/2019 16:00:00,59.95,01/04/2019 16:00:00,60.01,01/04/2019 16:00:00,59.32,01/04/2019 16:00:00,59.38
02/04/2019 16:00:00,60.28,02/04/2019 16:00:00,60.29,02/04/2019 16:00:00,59.56,02/04/2019 16:00:00,60
